furniture_id,furniture_sub_category,video_id,page_index,step_index,clip_index,step_list_length,page_list_length,start_time,end_time,full_video_duration
s79011430,Sofas,eJcsxzPKO-U,3,0,0,10,16,394.8,404.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,1,10,16,404.8,414.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,2,10,16,414.8,424.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,3,10,16,424.8,434.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,4,10,16,434.8,444.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,5,10,16,444.8,454.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,6,10,16,454.8,464.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,7,10,16,464.8,474.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,8,10,16,474.8,484.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,9,10,16,484.8,494.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,10,10,16,494.8,504.8,2179
s79011430,Sofas,eJcsxzPKO-U,3,0,11,10,16,503.2,513.2,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,0,10,16,607.9,617.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,1,10,16,617.9,627.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,2,10,16,627.9,637.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,3,10,16,637.9,647.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,4,10,16,647.9,657.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,5,10,16,657.9,667.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,6,10,16,667.9,677.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,7,10,16,677.9,687.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,8,10,16,687.9,697.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,9,10,16,697.9,707.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,10,10,16,707.9,717.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,11,10,16,717.9,727.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,12,10,16,727.9,737.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,13,10,16,737.9,747.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,14,10,16,747.9,757.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,15,10,16,757.9,767.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,16,10,16,767.9,777.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,17,10,16,777.9,787.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,18,10,16,787.9,797.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,19,10,16,797.9,807.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,20,10,16,807.9,817.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,21,10,16,817.9,827.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,22,10,16,827.9,837.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,23,10,16,837.9,847.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,24,10,16,847.9,857.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,25,10,16,857.9,867.9,2179
s79011430,Sofas,eJcsxzPKO-U,5,1,26,10,16,866.4,876.4,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,0,10,16,923.7,933.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,1,10,16,933.7,943.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,2,10,16,943.7,953.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,3,10,16,953.7,963.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,4,10,16,963.7,973.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,5,10,16,973.7,983.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,6,10,16,983.7,993.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,7,10,16,993.7,1003.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,8,10,16,1003.7,1013.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,9,10,16,1013.7,1023.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,10,10,16,1023.7,1033.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,11,10,16,1033.7,1043.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,12,10,16,1043.7,1053.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,13,10,16,1053.7,1063.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,14,10,16,1063.7,1073.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,15,10,16,1073.7,1083.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,16,10,16,1083.7,1093.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,17,10,16,1093.7,1103.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,18,10,16,1103.7,1113.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,19,10,16,1113.7,1123.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,20,10,16,1123.7,1133.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,21,10,16,1133.7,1143.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,22,10,16,1143.7,1153.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,23,10,16,1153.7,1163.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,24,10,16,1163.7,1173.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,25,10,16,1173.7,1183.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,26,10,16,1183.7,1193.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,27,10,16,1193.7,1203.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,28,10,16,1203.7,1213.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,29,10,16,1213.7,1223.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,30,10,16,1223.7,1233.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,31,10,16,1233.7,1243.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,32,10,16,1243.7,1253.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,33,10,16,1253.7,1263.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,34,10,16,1263.7,1273.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,35,10,16,1273.7,1283.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,36,10,16,1283.7,1293.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,37,10,16,1293.7,1303.7,2179
s79011430,Sofas,eJcsxzPKO-U,7,2,38,10,16,1300.6,1310.6,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,0,10,16,1342.2,1352.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,1,10,16,1352.2,1362.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,2,10,16,1362.2,1372.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,3,10,16,1372.2,1382.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,4,10,16,1382.2,1392.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,5,10,16,1392.2,1402.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,6,10,16,1402.2,1412.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,7,10,16,1412.2,1422.2,2179
s79011430,Sofas,eJcsxzPKO-U,8,3,8,10,16,1419.0,1429.0,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,0,10,16,1446.8,1456.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,1,10,16,1456.8,1466.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,2,10,16,1466.8,1476.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,3,10,16,1476.8,1486.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,4,10,16,1486.8,1496.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,5,10,16,1496.8,1506.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,6,10,16,1506.8,1516.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,7,10,16,1516.8,1526.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,8,10,16,1526.8,1536.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,9,10,16,1536.8,1546.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,10,10,16,1546.8,1556.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,11,10,16,1556.8,1566.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,12,10,16,1566.8,1576.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,13,10,16,1576.8,1586.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,14,10,16,1586.8,1596.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,15,10,16,1596.8,1606.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,16,10,16,1606.8,1616.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,17,10,16,1616.8,1626.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,18,10,16,1626.8,1636.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,19,10,16,1636.8,1646.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,20,10,16,1646.8,1656.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,21,10,16,1656.8,1666.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,22,10,16,1666.8,1676.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,23,10,16,1676.8,1686.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,24,10,16,1686.8,1696.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,25,10,16,1696.8,1706.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,26,10,16,1706.8,1716.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,27,10,16,1716.8,1726.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,28,10,16,1726.8,1736.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,29,10,16,1736.8,1746.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,30,10,16,1746.8,1756.8,2179
s79011430,Sofas,eJcsxzPKO-U,8,4,31,10,16,1756.8,1766.8,2179
